# nu = 0.27
# rmesh =0.05:0.1:19.950000000000003
# Parameter Index = 1:11
# E_ans = -3.12
ParameterName	a1	a2	a3	a4	a5	BE(5He_Lam)	BE-E_ans(MeV)
LY4	-500.89000	16.00000	7.02942	548.41100	0.00000	-3.12002	-0.00002
LY4_a3tuned	-500.89000	16.00000	7.02942	548.41100	0.00000	-3.12002	-0.00002
HPL2	-302.76000	23.72000	-87.09473	514.26300	0.00000	-3.11950	0.00050
HPL2_a3tuned	-302.76000	23.72000	-87.09473	514.26300	0.00000	-3.11950	0.00050
Chi2mom	-352.21000	39.35000	14.21509	-356.94900	1000.81300	-3.12010	-0.00010
Chi2mom_a3tuned	-352.21000	39.35000	14.21509	-356.94900	1000.81300	-3.12010	-0.00010
Chi3mom	-388.28000	47.27900	-5.42023	-405.67200	1256.75000	-3.12002	-0.00002
Chi3mom_a3tuned	-388.28000	47.27900	-5.42023	-405.67200	1256.75000	-3.12002	-0.00002
Chi2mom_a3tuned_meff	-352.21000	39.35000	14.21509	-356.94900	1000.81300	-3.12010	-0.00010
Chi3mom_a3tuned_meff	-388.28000	47.27900	-5.42023	-405.67200	1256.75000	-3.12002	-0.00002
LY4_a3tuned_meff	-500.89000	16.00000	7.02942	548.41100	0.00000	-3.12002	-0.00002
